Model,Accuracy,Precision,Recall,F1,Balanced Accuracy,Macro F1
Logistic Regression,0.9183397164727141,0.9183397164727141,1.0,0.9574317922805475,0.5,0.47871589614027377
Decision Tree,0.8170084763174115,0.9482472929056788,0.8469613703376511,0.8947470486994885,0.6635619702472075,0.5973674786442105
Random Forest,0.6594722451968412,0.9451307608642717,0.6679707667420062,0.7827402159153547,0.6159349350128327,0.49780930817199265
XGBoost,0.9194723505581516,0.9206633867640057,0.9983421484379482,0.9579306017305533,0.5154280898953821,0.5098969321405927
RNN-LSTM,0.9183354143288395,0.9183354143288395,1.0,0.9574294541709578,0.5,0.4787147270854789
Balanced XGBoost,0.8228033483824405,0.9521920802262792,0.8497091589128165,0.8980362675138382,0.6849668302789358,0.6110629854569433
