Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.35250765696784075,0.34463566973120563,0.35250765696784075,0.3383199683317081
Random Forest,0.34657350689127103,0.3388735249965095,0.34657350689127103,0.3401089688561989
Linear SVM,0.35212480857580397,0.3443615378191433,0.35212480857580397,0.331029663757423
KNN,0.25593415007656967,0.25471163573389494,0.25593415007656967,0.2483254047064268
Naive Bayes,0.31642419601837674,0.3059295634301855,0.31642419601837674,0.3013415178950515
